2022-09-21 00:15:55 status half-installed python3-pystache:all 0.5.4-5
2022-09-21 00:15:55 status triggers-pending man-db:amd64 2.7.5-1
2022-09-21 00:15:55 status half-installed python3-pystache:all 0.5.4-5
2022-09-21 00:15:55 status unpacked python3-pystache:all 0.5.4-5
2022-09-21 00:15:55 status unpacked python3-pystache:all 0.5.4-5
2022-09-21 00:15:55 trigproc man-db:amd64 2.7.5-1 <none>
2022-09-21 00:15:55 status half-configured man-db:amd64 2.7.5-1
2022-09-21 00:15:55 status installed man-db:amd64 2.7.5-1
2022-09-21 00:15:55 startup archives unpack
2022-09-21 00:15:55 upgrade dpkg-dev:all 1.18.4ubuntu1.7 1.18.4ubuntu1.7
2022-09-21 00:15:55 status half-configured dpkg-dev:all 1.18.4ubuntu1.7
2022-09-21 00:15:55 status unpacked dpkg-dev:all 1.18.4ubuntu1.7
2022-09-21 00:15:55 status half-installed dpkg-dev:all 1.18.4ubuntu1.7
2022-09-21 00:15:55 status triggers-pending man-db:amd64 2.7.5-1
2022-09-21 00:15:56 status half-installed dpkg-dev:all 1.18.4ubuntu1.7
2022-09-21 00:15:56 status unpacked dpkg-dev:all 1.18.4ubuntu1.7
2022-09-21 00:15:56 status unpacked dpkg-dev:all 1.18.4ubuntu1.7
2022-09-21 00:15:56 trigproc man-db:amd64 2.7.5-1 <none>
2022-09-21 00:15:56 status half-configured man-db:amd64 2.7.5-1
2022-09-21 00:15:56 status installed man-db:amd64 2.7.5-1
2022-09-21 00:15:56 startup archives unpack
2022-09-21 00:15:56 upgrade libexpat1-dev:amd64 2.1.0-7ubuntu0.16.04.5 2.1.0-7ubuntu0.16.04.5
2022-09-21 00:15:56 status half-configured libexpat1-dev:amd64 2.1.0-7ubuntu0.16.04.5
2022-09-21 00:15:56 status unpacked libexpat1-dev:amd64 2.1.0-7ubuntu0.16.04.5
2022-09-21 00:15:56 status half-installed libexpat1-dev:amd64 2.1.0-7ubuntu0.16.04.5
2022-09-21 00:15:56 status half-installed libexpat1-dev:amd64 2.1.0-7ubuntu0.16.04.5
2022-09-21 00:15:56 status unpacked libexpat1-dev:amd64 2.1.0-7ubuntu0.16.04.5
2022-09-21 00:15:56 status unpacked libexpat1-dev:amd64 2.1.0-7ubuntu0.16.04.5
2022-09-21 00:15:56 startup archives unpack
